Team,Team2,Team3,ABV,ABV2,ABV3,PFR_ABV,TmLegacy2,TmLegacy3
Arizona Cardinals,Phoenix Cardinals,,ARI,PHO,,crd,1988-1993,
Atlanta Falcons,,,ATL,,,atl,,
Baltimore Ravens,,,BAL,,,rav,,
Buffalo Bills,,,BUF,,,buf,,
Carolina Panthers,,,CAR,,,car,,
Chicago Bears,,,CHI,,,chi,,
Cincinnati Bengals,,,CIN,,,cin,,
Cleveland Browns,,,CLE,,,cle,,
Dallas Cowboys,,,DAL,,,dal,,
Denver Broncos,,,DEN,,,den,,
Detroit Lions,,,DET,,,det,,
Green Bay Packers,,,GNB,,,gnb,,
Houston Texans,,,HOU,,,htx,,
Indianapolis Colts,Baltimore Colts,,IND,BAL,,clt,1953-1983,
Jacksonville Jaguars,,,JAX,,,jax,,
Kansas City Chiefs,,,KAN,,,kan,,
Las Vegas Raiders,Oakland Raiders,Los Angeles Raiders,LVR,OAK,RAI,rai,1995-2019,1982-1994
Los Angeles Chargers,San Diego Chargers,,LAC,SDG,,sdg,1961-2016,
Los Angeles Rams,St. Louis Rams,Los Angeles Rams,LAR,STL,RAM,ram,1995-2015,1946-1994
Miami Dolphins,,,MIA,,,mia,,
Minnesota Vikings,,,MIN,,,min,,
New England Patriots,,,NWE,,,nwe,,
New Orleans Saints,,,NOR,,,nor,,
New York Giants,,,NYG,,,nyg,,
New York Jets,,,NYJ,,,nyj,,
Philadelphia Eagles,,,PHI,,,phi,,
Pittsburgh Steelers,,,PIT,,,pit,,
San Francisco 49ers,,,SFO,,,sfo,,
Seattle Seahawks,,,SEA,,,sea,,
Tampa Bay Buccaneers,,,TAM,,,tam,,
Tennessee Titans,Houston Oilers,Tennessee Oilers,TEN,HOU,TEN,oti,1960-1996,1997-1998
Washington Commanders,Washington Football Team,Washington Redskins,WAS,WAS,WAS,was,2020-2021,1937-2019
