season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2009,REG,ARI,1,00-0022084,WR,Anquan Boldin,Anquan,Boldin,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,
2009,REG,ARI,1,00-0026221,WR,Early Doucet,Early,Doucet,Ribs,,Questionable,Ribs,,Limited Participation in Practice,
2009,REG,ARI,1,00-0022101,QB,Brian St. Pierre,Brian,St. Pierre,Back,,Questionable,Back,,Limited Participation in Practice,
2009,REG,ARI,1,00-0025529,WR,Steve Breaston,Steve,Breaston,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,ARI,1,00-0022786,S,Matt Ware,Matt,Ware,Shoulder,,Probable,Shoulder,,Full Participation in Practice,
2009,REG,ARI,1,00-0011641,WR,Sean Morey,Sean,Morey,Ribs,,Probable,Ribs,,Limited Participation in Practice,
2009,REG,ATL,1,00-0027031,S,William Moore,William,Moore,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,
2009,REG,ATL,1,00-0019546,DE,John Abraham,John,Abraham,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,ATL,1,00-0023562,DE,Chauncey Davis,Chauncey,Davis,Foot,,Probable,Foot,,Full Participation in Practice,
2009,REG,ATL,1,00-0021901,LB,Tony Gilbert,Tony,Gilbert,Hamstring,,Probable,Hamstring,,Full Participation in Practice,
2009,REG,ATL,1,00-0010711,C,Todd McClure,Todd,McClure,Calf,,Probable,Calf,,Full Participation in Practice,
2009,REG,ATL,1,00-0024294,RB,Jerious Norwood,Jerious,Norwood,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,ATL,1,00-0018926,LS,Mike Schneck,Mike,Schneck,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,BAL,1,00-0022126,TE,L.J. Smith,L.J.,Smith,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,
2009,REG,BAL,1,00-0026857,LB,Dannell Ellerbe,Dannell,Ellerbe,Knee,,Questionable,Knee,,Full Participation in Practice,
2009,REG,BAL,1,00-0000551,LB,Brendon Ayanbadejo,Brendon,Ayanbadejo,Foot,,Probable,Foot,,Full Participation in Practice,
2009,REG,BAL,1,00-0024227,DE,Haloti Ngata,Haloti,Ngata,Knee,,Probable,Knee,,Limited Participation in Practice,
2009,REG,BUF,1,00-0026272,TE,Derek Fine,Derek,Fine,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,
2009,REG,BUF,1,00-0021994,CB,Drayton Florence,Drayton,Florence,Knee,,Out,Knee,,Did Not Participate In Practice,
2009,REG,BUF,1,00-0022610,DT,Spencer Johnson,Spencer,Johnson,Thigh,,Probable,Thigh,,Full Participation in Practice,
2009,REG,CAR,1,00-0023614,S,Chris Harris,Chris,Harris,Knee,,Questionable,Knee,,Full Participation in Practice,
2009,REG,CAR,1,00-0027035,CB,Sherrod Martin,Sherrod,Martin,Knee,,Questionable,Knee,,Full Participation in Practice,
2009,REG,CHI,1,00-0022123,CB,Charles Tillman,Charles,Tillman,Back,,Questionable,Back,,Full Participation in Practice,
2009,REG,CHI,1,00-0024447,WR,Devin Aromashodu,Devin,Aromashodu,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,
2009,REG,CHI,1,00-0021604,DT,Israel Idonije,Israel,Idonije,Hamstring,,Probable,Hamstring,,Full Participation in Practice,
2009,REG,CIN,1,00-0025532,CB,David Jones,David,Jones,Foot,,Out,Foot,,Out (Definitely Will Not Play),
2009,REG,CIN,1,00-0026982,T,Andre Smith,Andre,Smith,Foot,,Out,Foot,,Out (Definitely Will Not Play),
2009,REG,CIN,1,00-0021902,G,Scott Kooistra,Scott,Kooistra,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,CIN,1,00-0023518,WR,Chris Henry,Chris,Henry,Thigh,,Probable,Thigh,,Full Participation in Practice,
2009,REG,CIN,1,00-0021429,QB,Carson Palmer,Carson,Palmer,Ankle,,Probable,Ankle,,Full Participation in Practice,
2009,REG,CIN,1,00-0021143,S,Roy Williams,Roy,Williams,Thigh,,Probable,Thigh,,Full Participation in Practice,
2009,REG,CLE,1,00-0022905,G,Rex Hadnot,Rex,Hadnot,Knee,,Out,Knee,,Out (Definitely Will Not Play),
2009,REG,CLE,1,00-0026932,RB,Cedric Peerman,Cedric,Peerman,Thigh,,Doubtful,Thigh,,Did Not Participate In Practice,
2009,REG,CLE,1,00-0001563,LB,David Bowens,David,Bowens,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,CLE,1,00-0024359,RB,Jerome Harrison,Jerome,Harrison,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,CLE,1,00-0020528,DT,Shaun Rogers,Shaun,Rogers,Foot,,Questionable,Foot,,Limited Participation in Practice,
2009,REG,CLE,1,00-0025440,CB,Eric Wright,Eric,Wright,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,CLE,1,00-0026371,LB,Alex Hall,Alex,Hall,Shoulder,,Probable,Shoulder,,Full Participation in Practice,
2009,REG,CLE,1,00-0007213,TE,Steve Heiden,Steve,Heiden,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,DAL,1,00-0027116,CB,Michael Hamlin,Michael,Hamlin,Wrist,,Out,Wrist,,Did Not Participate In Practice,
2009,REG,DAL,1,00-0025993,LB,Curtis Johnson,Curtis,Johnson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,
2009,REG,DAL,1,00-0027043,LB,Jason Williams,Jason,Williams,Ankle,,Out,Ankle,,Did Not Participate In Practice,
2009,REG,DAL,1,00-0027071,QB,Stephen McGee,Stephen,McGee,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,DEN,1,00-0026360,S,Josh Barrett,Josh,Barrett,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,
2009,REG,DEN,1,00-0024420,DT,Le Kevin Smith,Le Kevin,Smith,Knee,,Out,Knee,,Did Not Participate In Practice,
2009,REG,DEN,1,00-0021163,WR,Jabar Gaffney,Jabar,Gaffney,Finger,,Questionable,Finger,,Limited Participation in Practice,
2009,REG,DEN,1,00-0024375,G,Chris Kuper,Chris,Kuper,Ankle,,Questionable,Ankle,,Limited Participation in Practice,
2009,REG,DEN,1,00-0026988,RB,Knowshon Moreno,Knowshon,Moreno,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,DEN,1,00-0023541,QB,Kyle Orton,Kyle,Orton,right Finger,,Questionable,right Finger,,Limited Participation in Practice,
2009,REG,DEN,1,00-0022005,QB,Chris Simms,Chris,Simms,Ankle,,Questionable,Ankle,,Limited Participation in Practice,
2009,REG,DEN,1,00-0004073,S,Brian Dawkins,Brian,Dawkins,Hand,,Probable,Hand,,Full Participation in Practice,
2009,REG,DET,1,00-0021525,TE,Casey Fitzsimmons,Casey,Fitzsimmons,,,,Knee,,Full Participation in Practice,
2009,REG,DET,1,00-0020329,CB,Anthony Henry,Anthony,Henry,,,,Shoulder,,Full Participation in Practice,
2009,REG,DET,1,00-0025430,QB,Drew Stanton,Drew,Stanton,Knee,,Doubtful,Knee,,Did Not Participate In Practice,
2009,REG,DET,1,00-0022808,G,Stephen Peterman,Stephen,Peterman,Ankle,,Questionable,Ankle,,Did Not Participate In Practice,
2009,REG,DET,1,00-0021151,CB,Phillip Buchanon,Phillip,Buchanon,Neck,,Questionable,Neck,,Limited Participation in Practice,
2009,REG,DET,1,00-0025461,WR,Yamon Figurs,Yamon,Figurs,Finger,,Questionable,Finger,,Limited Participation in Practice,
2009,REG,DET,1,00-0006800,K,Jason Hanson,Jason,Hanson,right Knee,,Probable,right Knee,,Limited Participation in Practice,
2009,REG,DET,1,00-0023890,DE,Jason Hunter,Jason,Hunter,Ribs,,Probable,Ribs,,Limited Participation in Practice,
2009,REG,DET,1,00-0008124,DT,Grady Jackson,Grady,Jackson,Knee,,Probable,Knee,,Limited Participation in Practice,
2009,REG,DET,1,00-0019650,WR,Dennis Northcutt,Dennis,Northcutt,Hand,,Probable,Hand,,Limited Participation in Practice,
2009,REG,GB,1,00-0025450,RB,Brandon Jackson,Brandon,Jackson,Ankle,,Doubtful,Ankle,,Did Not Participate In Practice,
2009,REG,GB,1,00-0024330,CB,Will Blackmon,Will,Blackmon,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,
2009,REG,GB,1,00-0026985,DT,B.J. Raji,B.J.,Raji,Ankle,,Questionable,Ankle,,Limited Participation in Practice,
2009,REG,GB,1,00-0026349,QB,Matt Flynn,Matt,Flynn,right Shoulder,,Probable,right Shoulder,,Full Participation in Practice,
2009,REG,GB,1,00-0025476,S,Aaron Rouse,Aaron,Rouse,Hamstring,,Probable,Hamstring,,Full Participation in Practice,
2009,REG,HOU,1,00-0021992,CB,Eugene Wilson,Eugene,Wilson,Knee,,Out,Knee,,Did Not Participate In Practice,
2009,REG,HOU,1,00-0022767,CB,Jacques Reeves,Jacques,Reeves,Fibula,,Out,Fibula,,Full Participation in Practice,
2009,REG,HOU,1,00-0021931,WR,Kevin Walter,Kevin,Walter,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,
2009,REG,HOU,1,00-0024648,DT,Deljuan Robinson,Deljuan,Robinson,Calf,,Questionable,Calf,,Full Participation in Practice,
2009,REG,HOU,1,00-0022787,QB,Matt Schaub,Matt,Schaub,Ankle,,Probable,Ankle,,Full Participation in Practice,
2009,REG,IND,1,00-0023464,CB,Marlin Jackson,Marlin,Jackson,,,,Not Injury Related,,Did Not Participate In Practice,
2009,REG,IND,1,00-0024277,CB,Tim Jennings,Tim,Jennings,,,,Not Injury Related,,Full Participation in Practice,
2009,REG,IND,1,00-0022944,S,Bob Sanders,Bob,Sanders,Knee,,Out,Knee,,Did Not Participate In Practice,
2009,REG,IND,1,00-0026336,TE,Tom Santi,Tom,Santi,Ankle,,Out,Ankle,,Did Not Participate In Practice,
2009,REG,IND,1,00-0025996,CB,Jamie Silva,Jamie,Silva,Abdomen,,Out,Abdomen,,Did Not Participate In Practice,
2009,REG,IND,1,00-0027032,DT,Fili Moala,Fili,Moala,Knee,,Questionable,Knee,,Did Not Participate In Practice,
2009,REG,JAX,1,00-0027125,TE,Zach Miller,Zach,Miller,Knee,,Out,Knee,,Did Not Participate In Practice,
2009,REG,JAX,1,00-0025553,DT,Derek Landri,Derek,Landri,Knee,,Probable,Knee,,Limited Participation in Practice,
2009,REG,JAX,1,00-0016334,T,Tra Thomas,Tra,Thomas,Back,,Probable,Back,,Limited Participation in Practice,
2009,REG,KC,1,00-0025701,RB,Jackie Battle,Jackie,Battle,,,,Illness,,Full Participation in Practice,
2009,REG,KC,1,00-0023662,QB,Matt Cassel,Matt,Cassel,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,KC,1,00-0022388,WR,Terrance Copper,Terrance,Copper,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,
2009,REG,KC,1,00-0026175,CB,Brandon Flowers,Brandon,Flowers,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,
2009,REG,MIA,1,00-0026929,T,Andrew Gardner,Andrew,Gardner,,,,Not Injury Related,,Did Not Participate In Practice,
2009,REG,MIA,1,00-0027001,CB,Vontae Davis,Vontae,Davis,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,MIN,1,00-0025945,LB,Erin Henderson,Erin,Henderson,Calf,,Out,Calf,,Did Not Participate In Practice,
2009,REG,MIN,1,00-0022807,WR,Bernard Berrian,Bernard,Berrian,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,
2009,REG,MIN,1,00-0009323,TE,Jim Kleinsasser,Jim,Kleinsasser,Hand,,Probable,Hand,,Full Participation in Practice,
2009,REG,NE,1,00-0026293,WR,Matt Slater,Matt,Slater,Elbow,,Out,Elbow,,Did Not Participate In Practice,
2009,REG,NE,1,00-0022979,C,Dan Connolly,Dan,Connolly,Back,,Questionable,Back,,Limited Participation in Practice,
2009,REG,NE,1,00-0027150,WR,Julian Edelman,Julian,Edelman,Ankle,,Questionable,Ankle,,Limited Participation in Practice,
2009,REG,NE,1,00-0027138,DT,Myron Pryor,Myron,Pryor,Calf,,Questionable,Calf,,Limited Participation in Practice,
2009,REG,NE,1,00-0022427,WR,Wes Welker,Wes,Welker,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,NE,1,00-0026202,CB,Terrence Wheatley,Terrence,Wheatley,Knee,,Questionable,Knee,,Limited Participation in Practice,
2009,REG,NE,1,00-0019596,QB,Tom Brady,Tom,Brady,right Shoulder,,Probable,right Shoulder,,Full Participation in Practice,
2009,REG,NE,1,00-0026831,S,Bret Lockett,Bret,Lockett,Chest,,Probable,Chest,,Full Participation in Practice,
2009,REG,NE,1,00-0019484,RB,Sammy Morris,Sammy,Morris,Finger,,Probable,Finger,,Full Participation in Practice,
2009,REG,NE,1,00-0015495,CB,Shawn Springs,Shawn,Springs,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,NE,1,00-0022943,TE,Benjamin Watson,Benjamin,Watson,Hamstring,,Probable,Hamstring,,Full Participation in Practice,
2009,REG,NO,1,00-0023447,T,Jammal Brown,Jammal,Brown,Hernia,,Out,Hernia,,Did Not Participate In Practice,
2009,REG,NO,1,00-0020550,TE,Darnell Dinkins,Darnell,Dinkins,Foot,,Out,Foot,,Did Not Participate In Practice,
2009,REG,NO,1,00-0024813,RB,Pierre Thomas,Pierre,Thomas,Knee,,Out,Knee,,Did Not Participate In Practice,
2009,REG,NO,1,00-0021148,TE,Jeremy Shockey,Jeremy,Shockey,Ankle,,Probable,Ankle,,Did Not Participate In Practice,
2009,REG,NO,1,00-0025453,S,Usama Young,Usama,Young,Shoulder,,Probable,Shoulder,,Full Participation in Practice,
2009,REG,NYG,1,00-0025407,CB,Aaron Ross,Aaron,Ross,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,
2009,REG,NYG,1,00-0025576,T,Adam Koets,Adam,Koets,Ankle,,Doubtful,Ankle,,Did Not Participate In Practice,
2009,REG,NYG,1,00-0027021,LB,Clint Sintim,Clint,Sintim,Groin,,Doubtful,Groin,,Did Not Participate In Practice,
2009,REG,NYG,1,00-0024178,CB,Kevin Dockery,Kevin,Dockery,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,
2009,REG,NYJ,1,00-0025689,DE,Mike Devito,Mike,Devito,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,
2009,REG,NYJ,1,00-0024264,QB,Kellen Clemens,Kellen,Clemens,right Elbow,,Probable,right Elbow,,Full Participation in Practice,
2009,REG,NYJ,1,00-0026899,RB,Shonn Greene,Shonn,Greene,Ribs,,Probable,Ribs,,Full Participation in Practice,
2009,REG,NYJ,1,00-0026170,TE,Dustin Keller,Dustin,Keller,Toe,,Probable,Toe,,Full Participation in Practice,
2009,REG,NYJ,1,00-0021081,LB,Bryan Thomas,Bryan,Thomas,Ankle,,Probable,Ankle,,Full Participation in Practice,
2009,REG,NYJ,1,00-0024171,WR,Wallace Wright,Wallace,Wright,Knee,,Probable,Knee,,Full Participation in Practice,
2009,REG,OAK,1,00-0026366,WR,Chaz Schilens,Chaz,Schilens,Foot,,Out,Foot,,Out (Definitely Will Not Play),
