season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2011,REG,ARI,1,00-0027825,TE,Jim Dray,Jim,Dray,Pectoral,,Out,Pectoral,,Did Not Participate In Practice,2011-09-09T12:42:40Z
2011,REG,ARI,1,00-0027754,QB,John Skelton,John,Skelton,Ankle,,Questionable,Ankle,,Full Participation in Practice,2011-09-09T12:43:01Z
2011,REG,ARI,1,00-0025668,CB,Michael Adams,Michael,Adams,Knee,,Questionable,Knee,,Limited Participation in Practice,2011-09-09T12:42:54Z
2011,REG,ARI,1,00-0028007,TE,Rob Housler,Rob,Housler,Groin,,Probable,Groin,,Full Participation in Practice,2011-09-09T12:42:32Z
2011,REG,ARI,1,00-0028145,CB,Korey Lindsey,Korey,Lindsey,Illness,,Probable,Illness,,Full Participation in Practice,2011-09-09T12:42:32Z
2011,REG,ARI,1,00-0028187,WR,DeMarco Sampson,DeMarco,Sampson,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2011-09-09T12:42:32Z
2011,REG,ARI,1,00-0027346,RB,Alfonso Smith,Alfonso,Smith,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2011-09-09T12:42:32Z
2011,REG,ARI,1,00-0020505,S,Adrian Wilson,Adrian,Wilson,Biceps,,Probable,Biceps,,Full Participation in Practice,2011-09-09T12:42:32Z
2011,REG,ATL,1,00-0027686,DT,Corey Peters,Corey,Peters,Knee,,Out,Knee,,Did Not Participate In Practice,2011-09-09T12:07:06Z
2011,REG,ATL,1,00-0010711,C,Todd McClure,Todd,McClure,Knee,,Out,Knee,,Out (Definitely Will Not Play),2011-09-09T12:06:53Z
2011,REG,ATL,1,00-0023494,DT,Jonathan Babineaux,Jonathan,Babineaux,Knee,Shoulder,Probable,Knee,Shoulder,Full Participation in Practice,2011-09-09T12:06:36Z
2011,REG,ATL,1,00-0026638,C,Rob Bruggeman,Rob,Bruggeman,Concussion,,Probable,Concussion,,Full Participation in Practice,2011-09-09T12:06:36Z
2011,REG,ATL,1,00-0022245,T,Tyson Clabo,Tyson,Clabo,Elbow,,Probable,Elbow,,Full Participation in Practice,2011-09-09T12:06:36Z
2011,REG,ATL,1,00-0022735,CB,Dunta Robinson,Dunta,Robinson,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2011-09-09T12:06:36Z
2011,REG,ATL,1,00-0027090,DE,Lawrence Sidbury,Lawrence,Sidbury,Ankle,,Probable,Ankle,,Full Participation in Practice,2011-09-09T12:06:36Z
2011,REG,ATL,1,00-0023462,WR,Roddy White,Roddy,White,Thigh,,Probable,Thigh,,Full Participation in Practice,2011-09-09T12:06:36Z
